Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs,Gifted Tier 2 subs
Wed Jul 15 2020,0,0,31.14,706,67,1,4,3,11.93,789,42,13732,438,561,4.58,0,0,100.01,0.23800000000000002,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 16 2020,0,0,29.91,754,75,0,2,6,12.45,976,67,15194,507,724,2.32,0,0,1,0.294,0,0,0,0,1,1,0,0,0,0,0
Fri Jul 17 2020,0,0,30.78,905,91,0,0,10,2.52,1118,79,17085,555,795,0,0,2.33,3.5,0.3395,0,0,0,0,0,0,0,0,1,1,0
Sat Jul 18 2020,0,0,38.8,1494,105,0,2,1219,0.9,1693,253,26497,679,1184,6.845000000000001,2.495,0,17,0.532,0,0,0,1,3,3,0,0,0,0,0
Sun Jul 19 2020,0,0,31.6,1005,75,6,1,10,0.14,1167,63,15831,501,848,9.215,7.485,12.875,11.51,0.266,0,0,0,3,3,2,1,0,6,6,0
Mon Jul 20 2020,0,0,30.77,1246,82,1,3,16,3.54,1156,62,16121,524,824,11.57,4.99,0,0.05,0.3605,0,0,0,2,5,5,0,0,0,0,0
Tue Jul 21 2020,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2.145,2.495,0,0.01,0,0,0,0,1,1,1,0,0,0,0,0
Wed Jul 22 2020,0,0,24.44,559,59,1,2,8,1.02,829,40,9897,405,623,4.505,2.495,0,0,0.2695,0,0,0,1,2,2,0,0,0,0,0
Thu Jul 23 2020,0,0,28.07,1184,86,1,0,10,12.11,1129,59,16929,603,769,11.765,0,10.5,14.38,0.3395,0,0,0,0,5,5,0,0,5,5,0
Fri Jul 24 2020,0,0,24.76,1285,89,0,2,13,9.85,1260,52,17700,715,905,9.18,0,43.18,5,0.3815,0,0,0,0,4,4,0,0,17,16,1
Sat Jul 25 2020,0,0,30.53,1081,85,4,0,14,5.42,1202,45,17035,558,851,4.38,7.485,16.675,0,0.294,0,0,0,3,2,2,0,0,7,7,0
Sun Jul 26 2020,0,0,30.21,877,72,0,2,9,4.23,1009,43,12326,407,755,2.405,0,0,0,0.21350000000000002,0,0,0,0,1,1,0,0,0,0,0
Mon Jul 27 2020,0,0,63.47,1551,156,2,7,53,33.13,1903,273,32753,516,1363,11.465,0,14.395,9.03,0.47950000000000004,0,0,0,0,5,5,0,0,6,6,0
Tue Jul 28 2020,0,0,0,0,0,0,0,4,0,3,0,0,0,3,2.13,0,0,0,0.0034999999999999996,0,0,0,0,1,1,0,0,0,0,0
Wed Jul 29 2020,0,0,34.46,1252,88,1,3,12,11.72,1243,87,21125,608,882,2.32,2.495,0,0,0.3325,0,0,0,1,1,1,0,0,0,0,0
Thu Jul 30 2020,0,0,0,0,0,0,0,1,0,1,0,0,0,1,7.09,0,0,0,0.006999999999999999,0,0,0,0,3,3,0,0,0,0,0
Fri Jul 31 2020,0,0,32.82,1629,103,0,3,15,16.91,1612,85,25698,782,1113,0,4.99,0,1.01,0.34299999999999997,0,0,0,2,0,0,0,0,0,0,0
Sat Aug 01 2020,0,0,31.35,967,73,0,0,7,9.05,1354,55,16552,527,984,4.605,2.495,0,0.14,0.3395,0,0,0,1,2,2,0,0,0,0,0
Sun Aug 02 2020,0,0,31.52,624,72,0,3,15,7.83,1227,50,14659,465,926,0,2.495,0,0,0.2275,0,0,0,1,0,0,0,0,0,0,0
Mon Aug 03 2020,0,0,55.53,641,69,0,1,16,23.36,1226,187,18490,333,957,2.26,0,2.14,0.1,0.294,0,0,0,0,1,1,0,0,1,1,0
Tue Aug 04 2020,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 05 2020,0,0,44.41,1146,85,9,3,19,13.96,1122,86,20517,463,808,2.27,0,0,0,0.266,0,0,0,0,1,1,0,0,0,0,0
Thu Aug 06 2020,0,0,0,0,0,0,0,2,0,2,0,0,0,1,4.565,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Fri Aug 07 2020,0,0,30.92,1326,84,2,1,10,4.63,1132,48,17069,551,817,8.655,2.495,2.29,0,0.37450000000000006,0,0,0,1,4,4,0,0,1,1,0
Sat Aug 08 2020,0,0,34.83,647,92,0,0,13,11.45,1447,94,22328,640,1111,2.365,2.495,0,0,0.511,0,0,0,1,1,1,0,0,0,0,0
Sun Aug 09 2020,0,0,33.58,1727,116,1,7,23,1.96,1606,54,23874,711,1122,6.81,2.495,2.39,0.04,0.455,0,0,0,1,3,3,0,0,1,1,0
Mon Aug 10 2020,0,0,42.53,713,80,3,0,15,8.91,1368,130,21095,496,988,0,0,0,0,0.4305,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 11 2020,0,0,0,2,2,1,0,0,0,1,0,0,0,1,2.455,0,0,0,0.0175,0,0,0,0,1,1,0,0,0,0,0
Wed Aug 12 2020,0,0,34.68,792,94,4,3,17,5.79,1092,136,17481,505,781,2.45,7.485,0,0.2,0.32899999999999996,0,0,0,3,1,1,0,0,0,0,0
Thu Aug 13 2020,0,0,0,0,0,1,0,0,0,12,0,0,0,3,6.845,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
Fri Aug 14 2020,0,0,26.56,452,48,1,1,6,8.93,711,37,9879,372,517,2.165,4.99,7.155,5,0.301,0,0,0,2,1,1,0,0,3,3,0
Sat Aug 15 2020,0,0,43.62,1046,103,0,3,6,14.28,1540,67,26478,607,1072,4.58,4.99,2.47,0,0.455,0,0,0,2,2,2,0,0,1,1,0
Sun Aug 16 2020,0,0,40.65,657,75,9,5,16,2.56,1441,60,19998,492,1086,4.635,7.485,23.985,1,0.40950000000000003,0,0,0,3,2,2,0,0,10,10,0
Mon Aug 17 2020,0,0,37.97,1083,103,1,5,22,5.15,1553,68,24299,636,1035,0,4.99,14.42,1,0.5985,0,0,0,2,0,0,0,0,6,6,0
Tue Aug 18 2020,0,0,0,4,2,2,0,0,0,3,0,0,0,3,2.38,0,0,0,0.0034999999999999996,0,0,0,0,1,1,0,0,0,0,0
Wed Aug 19 2020,0,0,43.73,723,87,1,2,19,15.55,1602,175,23175,530,1154,6.945,0,0,0,0.518,0,0,0,0,2,1,1,0,0,0,0
Thu Aug 20 2020,0,0,0,0,0,0,0,1,0,2,0,0,0,2,11.685,0,0,0,0.0175,0,0,0,0,5,5,0,0,0,0,0
Fri Aug 21 2020,0,0,80.21,1293,132,1,2,34,50.28,2310,708,55989,697,1771,4.465,0,0,1,0.6685,0,0,0,0,2,2,0,0,0,0,0
Sat Aug 22 2020,0,0,39.08,1350,112,5,2,31,19.71,2260,90,32828,841,1573,2.215,4.99,11.96,0,0.63,0,0,0,2,1,1,0,0,5,5,0
Sun Aug 23 2020,0,0,37.24,770,93,0,3,699,1.16,1627,65,18174,487,1153,9.465,0,0,0,0.3885,0,0,0,0,4,4,0,0,0,0,0
Mon Aug 24 2020,0,0,43.51,1018,96,0,4,34,11.08,1504,118,22497,518,1103,16.235,2.495,0,0,0.455,0,0,0,1,7,7,0,0,0,0,0
Tue Aug 25 2020,0,0,0,0,0,9,0,3,0,0,0,0,0,0,6.71,0,0,0,0.021,0,0,0,0,3,3,0,0,0,0,0
Wed Aug 26 2020,0,0,31.72,828,90,2,1,23,7.04,1344,70,17602,554,959,2.585,0,0,0.35,0.2695,0,0,0,0,1,1,0,0,0,0,0
Thu Aug 27 2020,0,0,0,0,0,4,0,1,0,1,0,0,0,1,4.7,2.495,0,0,0.027999999999999997,0,0,0,1,2,2,0,0,0,0,0
Fri Aug 28 2020,0,0,32.25,1106,103,0,2,27,4.43,1391,58,20930,648,980,2.49,4.99,0,0.05,0.371,0,0,0,2,1,1,0,0,0,0,0
Sat Aug 29 2020,0,0,33.77,659,93,10,5,13,11.38,1650,96,18201,538,1070,0,0,0,1.1,0.3885,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 30 2020,0,0,34.11,933,76,0,4,21,4.66,1433,72,18315,537,1023,9.37,0,4.33,0.1,0.44799999999999995,0,0,0,0,4,4,0,0,2,2,0
Mon Aug 31 2020,0,0,78.01,1711,188,2,5,73,35.07,2537,396,46494,597,1769,4.205,7.485,0,0.1,0.8785,0,0,0,3,2,2,0,0,0,0,0
Tue Sep 01 2020,0,0,0,1,1,2,0,1,0,1,0,0,0,1,4.605,0,0,1,0.0665,0,0,0,0,2,2,0,0,0,0,0
Wed Sep 02 2020,0,0,37.28,1672,227,0,4,67,10.41,1682,63,24195,644,1108,2.44,4.99,0,3,0.7,0,0,0,2,1,1,0,0,0,0,0
Thu Sep 03 2020,0,0,0,0,0,0,0,2,0,3,0,0,0,2,2.26,2.495,0,0,0.0105,0,0,0,1,1,1,0,0,0,0,0
Fri Sep 04 2020,0,0,35.43,829,102,1,4,13,4.79,1504,57,21366,603,1033,2.415,2.495,2.27,0,0.595,0,0,0,1,1,1,0,0,1,1,0
Sat Sep 05 2020,0,0,34.21,947,95,0,0,17,8.93,1545,55,18440,538,1043,0,2.495,0,2.01,0.5145000000000001,0,0,0,1,0,0,0,0,0,0,0
Sun Sep 06 2020,0,0,37.54,843,104,0,1,23,7.29,1871,91,23801,634,1293,4.61,4.99,23.705,0,0.5635,0,0,0,2,2,2,0,0,10,10,0
Mon Sep 07 2020,0,0,60.56,1015,109,0,10,27,28.4,1564,286,22650,373,1086,11.015,4.99,0,2,0.5075,0,0,0,2,5,5,0,0,0,0,0
Tue Sep 08 2020,0,0,0,0,0,0,0,2,0,3,0,0,0,3,13.245,0,0,0,0.0034999999999999996,0,0,0,0,2,2,0,0,0,0,0
Wed Sep 09 2020,0,0,35.87,714,87,0,2,18,9.15,1369,71,19942,556,1003,4.485,4.99,0,0,0.4935,0,0,0,2,2,2,0,0,0,0,0
Thu Sep 10 2020,0,0,0,2,1,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 11 2020,0,0,37.39,1603,124,0,2,23,4.5,1511,56,22806,611,1026,7.375,2.495,28.78,1.1,0.504,0,0,0,1,3,3,0,0,12,12,0
Sat Sep 12 2020,0,0,30.22,883,104,0,1,20,1.55,1814,52,20548,679,1239,4.825,7.485,0,0,0.7384999999999999,0,0,0,3,2,2,0,0,0,0,0
Sun Sep 13 2020,0,0,37.65,781,92,2,3,18,4.44,1478,84,16904,449,1003,4.615,0,0,3,0.4935,0,0,0,0,2,2,0,0,0,0,0
Mon Sep 14 2020,0,0,39.52,757,91,3,3,17,4.56,1324,62,19247,486,965,0,7.485,0,0,0.39549999999999996,0,0,0,3,0,0,0,0,0,0,0
Tue Sep 15 2020,0,0,0,0,0,0,0,3,0,2,0,0,0,1,4.58,0,0,0,0.0105,0,0,0,0,2,2,0,0,0,0,0
Wed Sep 16 2020,0,0,38.44,1479,114,3,4,28,10.19,1459,81,24484,637,1048,8.615,7.485,0,1,0.5565,0,0,0,3,4,4,0,0,0,0,0
Thu Sep 17 2020,0,0,0,0,0,13,0,2,0,1,0,0,0,1,4.72,2.495,0,0,0.006999999999999999,0,0,0,1,2,2,0,0,0,0,0
Fri Sep 18 2020,0,0,34.46,1625,105,0,2,17,4.23,1407,53,20435,593,921,4.17,0,0,2,0.5075,0,0,0,0,2,2,0,0,0,0,0
Sat Sep 19 2020,0,0,40.62,1135,131,4,2,31,11.22,2269,88,30302,746,1574,4.675,0,0,0.01,0.8190000000000001,0,0,0,0,1,0,1,0,0,0,0
Sun Sep 20 2020,0,0,41.2,694,100,9,0,27,6.78,2002,95,21629,526,1522,9.275,4.99,0,0.1,0.847,0,0,0,2,4,4,0,0,0,0,0
Mon Sep 21 2020,0,0,42.35,608,79,0,3,14,5.53,1397,91,20539,485,995,4.465,0,0,0,0.5529999999999999,0,0,0,0,2,2,0,0,0,0,0
Tue Sep 22 2020,0,0,0,1,1,0,0,3,0,7,0,0,0,5,7.015,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
Wed Sep 23 2020,0,0,0,0,0,0,0,0,0,6,0,0,0,1,6.965,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
Thu Sep 24 2020,0,0,44.08,1256,107,1,4,17,1.06,1095,81,19838,450,770,20.695,2.495,2.28,1,0.413,0,0,0,1,9,9,0,0,1,1,0
Fri Sep 25 2020,0,0,44.05,890,91,0,0,13,8.24,1439,74,23083,524,1013,4.295,2.495,0,0,0.532,0,0,0,1,2,2,0,0,0,0,0
Sat Sep 26 2020,0,0,45.33,759,103,0,2,16,2.06,2104,75,27742,611,1488,0,2.495,0,0.06,0.847,0,0,0,1,0,0,0,0,0,0,0
Sun Sep 27 2020,0,0,50.52,1284,134,1,3,35,7.41,2122,90,29352,581,1419,9.685,2.495,0,17.01,0.7909999999999999,0,0,0,1,4,4,0,0,0,0,0
Mon Sep 28 2020,0,0,53.79,837,98,2,2,26,20.02,1651,146,26412,488,1110,2.23,2.495,0,2,0.7595000000000001,0,0,0,1,1,1,0,0,0,0,0
Tue Sep 29 2020,0,0,0,0,0,0,0,1,0,4,0,0,0,3,2.545,2.495,0,0,0.0105,0,0,0,1,1,1,0,0,0,0,0
Wed Sep 30 2020,0,0,35.74,866,107,0,2,23,1.29,1578,58,23478,657,1085,13.305,2.495,2.28,0,1.043,0,0,0,1,6,6,0,0,1,1,0
Thu Oct 01 2020,0,0,0,0,0,1,0,5,0,4,0,0,0,3,4.605,4.99,0,1,0.035,0,0,0,2,2,2,0,0,0,0,0
Fri Oct 02 2020,0,0,36.79,1196,113,1,4,19,0.81,1579,65,19867,540,977,2.44,2.495,0,0.25,0.8085,0,0,0,1,1,1,0,0,0,0,0
Sat Oct 03 2020,0,0,39.61,1046,116,0,3,23,10.92,1988,112,28518,720,1334,2.26,7.485,0,1,1.036,0,0,0,3,1,1,0,0,0,0,0
Sun Oct 04 2020,0,0,34.4,958,98,0,2,19,3.58,1369,48,18539,539,966,2.415,2.495,2.28,0.48,0.5705,0,0,0,1,1,1,0,0,1,1,0
Mon Oct 05 2020,0,0,44.67,838,98,2,4,29,12.73,1551,68,23854,534,1018,2.3,2.495,4.56,1,0.6335000000000001,0,0,0,1,1,1,0,0,2,2,0
Tue Oct 06 2020,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4.515,0,0,0,0.0034999999999999996,0,0,0,0,2,2,0,0,0,0,0
Wed Oct 07 2020,0,0,0,0,0,0,0,0,0,10,0,0,0,4,8.655,0,0,1,0.0105,0,0,0,0,4,4,0,0,0,0,0
Thu Oct 08 2020,0,0,38.57,919,85,0,1,14,0.1,1084,56,16510,428,795,5.495,2.495,6.84,0.01,0.5145000000000001,0,0,0,1,2,2,0,0,3,3,0
Fri Oct 09 2020,0,0,35.02,717,70,0,4,7,9.84,1081,63,13693,392,781,9.285,7.485,9.25,0,0.5565,0,0,0,3,4,4,0,0,4,4,0
Sat Oct 10 2020,0,0,52.83,1567,138,5,6,33,3.96,2230,86,32646,617,1535,2.455,2.495,2.28,0,1.12,0,0,0,1,1,1,0,0,1,1,0
Sun Oct 11 2020,0,0,45.74,717,96,0,2,14,0.85,1525,68,20810,454,1101,2.425,7.485,0,0.7,0.861,0,0,0,3,1,1,0,0,0,0,0
Mon Oct 12 2020,0,0,61.52,1278,119,7,2,28,17.34,1734,207,27499,447,1272,4.875,0,20.805,1.25,0.875,0,0,0,0,2,2,0,0,10,10,0
Tue Oct 13 2020,0,0,0,5,4,20,11,1,0,0,0,0,0,0,6.865,0,0,0,0.059500000000000004,0,0,0,0,3,3,0,0,0,0,0
Wed Oct 14 2020,0,0,0,0,0,8,0,1,0,3,0,0,0,1,0,0,0,0,0.0175,0,0,0,0,0,0,0,0,0,0,0
Thu Oct 15 2020,0,0,41.37,1691,127,5,2,30,11.59,1512,66,23538,569,1007,4.53,4.99,40.845,9,0.7175,0,0,0,2,2,2,0,0,17,17,0
Fri Oct 16 2020,0,0,49.76,1334,134,2,0,34,21.35,2019,212,28465,572,1382,2.32,0,0,0,0.875,0,0,0,0,1,1,0,0,0,0,0
Sat Oct 17 2020,0,0,58.17,1862,150,1,6,39,10.47,2334,92,29956,514,1559,2.44,4.99,59.585,10.5,1.0465,0,0,0,2,1,1,0,0,25,25,0
Sun Oct 18 2020,0,0,49.89,1131,130,3,1,39,6.3,1831,76,25446,511,1331,6.795,2.495,0,0,0.6509999999999999,0,0,0,1,3,3,0,0,0,0,0
Mon Oct 19 2020,0,0,43.27,880,83,2,5,17,0.35,1162,68,15880,367,889,4.805,0,2.28,0.5,0.434,0,0,0,0,2,2,0,0,1,1,0
Tue Oct 20 2020,0,0,0,1,1,15,0,3,0,2,0,0,0,1,9.275,0,0,0,0.0034999999999999996,0,0,0,0,4,4,0,0,0,0,0
Wed Oct 21 2020,0,0,0,0,0,1,0,2,0,1,0,0,0,1,4.795,2.495,0,0,0,0,0,0,1,2,2,0,0,0,0,0
Thu Oct 22 2020,0,0,45.26,1165,115,1,0,26,12.07,1851,115,22945,506,1191,4.655,2.495,2.28,0,0.8155,0,0,0,1,2,2,0,0,1,1,0
Fri Oct 23 2020,0,0,49.09,1056,100,2,1,22,8.56,1769,119,26165,533,1228,2.27,2.495,0,0,0.7559999999999999,0,0,0,1,1,1,0,0,0,0,0
Sat Oct 24 2020,0,0,57.49,1207,130,7,3,27,6.18,2331,94,28398,493,1506,23.19,9.98,12.12,0.01,0.9555,0,0,0,4,10,10,0,0,5,5,0
Sun Oct 25 2020,0,0,55.77,1099,109,3,2,34,8.81,1999,169,27384,490,1403,6.95,2.495,0,0,0.8295,0,0,0,1,3,3,0,0,0,0,0
Mon Oct 26 2020,0,0,44.47,760,81,3,3,19,6.21,1425,87,17386,390,990,0,2.495,0,3,0.525,0,0,0,1,0,0,0,0,0,0,0
Tue Oct 27 2020,0,0,0,0,0,2,0,1,0,0,0,0,0,0,7.18,0,2.39,0,0.006999999999999999,0,0,0,0,3,3,0,0,1,1,0
Wed Oct 28 2020,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2.13,2.495,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Thu Oct 29 2020,0,0,37.52,641,90,21,3,21,4.27,1314,53,19249,513,934,2.43,2.495,2.46,0,0.7245,0,0,0,1,1,1,0,0,1,1,0
Fri Oct 30 2020,0,0,41.04,1127,99,1,0,23,4.06,1495,62,19988,487,1028,7.135,0,7.155,0,0.672,0,0,0,0,3,3,0,0,3,3,0
Sat Oct 31 2020,0,0,43.64,765,67,1,1,17,3.05,673,70,8815,202,486,10.72,4.99,4.31,0,0.2625,0,0,0,2,5,5,0,0,2,2,0
Sun Nov 01 2020,0,0,54.19,870,123,4,2,38,2.17,2467,100,33221,613,1566,4.605,2.495,0,1.69,1.2495,0,0,0,1,2,2,0,0,0,0,0
Mon Nov 02 2020,0,0,45.43,706,101,2,2,24,4.5,1432,65,19990,439,982,4.535,4.99,0,0.25,0.6545000000000001,0,0,0,2,2,2,0,0,0,0,0
Tue Nov 03 2020,0,0,0,0,0,1,0,2,0,2,0,0,0,2,2.26,0,0,0,0.1225,0,0,0,0,1,1,0,0,0,0,0
Wed Nov 04 2020,0,0,0,0,0,0,0,2,0,4,0,0,0,3,2.42,0,0,0,0.077,0,0,0,0,1,1,0,0,0,0,0
Thu Nov 05 2020,0,0,40.05,960,361,1,0,20,8.41,1239,83,17463,435,846,0,4.99,0,0.55,0.693,0,0,0,2,0,0,0,0,0,0,0
Fri Nov 06 2020,0,0,0,2,2,0,0,2,0,6,0,0,0,3,4.555,0,0,0,0.077,0,0,0,0,2,2,0,0,0,0,0
Sat Nov 07 2020,0,0,35.93,1191,111,0,1,17,3.81,1846,69,21701,603,1275,11.09,7.485,0,0,0.9590000000000001,0,0,0,3,5,5,0,0,0,0,0
Sun Nov 08 2020,0,0,58.54,999,105,2,5,44,9.39,2048,132,27865,475,1371,7.815,0,12.025,1,1.113,0,0,0,0,3,3,0,0,5,5,0
Mon Nov 09 2020,0,0,51.76,731,95,2,1,27,7.34,1483,80,21376,413,1112,9.15,0,0,0,0.7454999999999999,0,0,0,0,4,4,0,0,0,0,0
Tue Nov 10 2020,0,0,0,0,0,0,0,0,0,8,0,0,0,3,2.49,0,0,0,0.0034999999999999996,0,0,0,0,1,1,0,0,0,0,0
Wed Nov 11 2020,0,0,0,0,0,0,0,3,0,5,0,0,0,2,2.42,0,0,0,0.0034999999999999996,0,0,0,0,1,1,0,0,0,0,0
Thu Nov 12 2020,0,0,41.78,768,92,0,1,19,5.8,1498,69,19635,471,1039,11.57,4.99,12.025,4.35,0.7034999999999999,0,0,0,2,5,5,0,0,5,5,0
